time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
84951,0,0,0,484,16
84951,0,0,0,457,43
84951,0,0,0,413,87
85030.5,0,0,0,424,76
85050,0,0,0,429,71
85488.1,0,0,0,456,44
85703,0,0,0,500,0
85911,0,0,0,476,24
86295.9,0,0,0,500,0
87399,0,0,0,486,14
87399,0,0,0,480,20
87399,0,0,0,462,38
87511.2,0,0,0,468,32
87592.9,0,0,0,482,18
87658.5,0,0,0,500,0
88419,0,0,0,477,23
88419,0,0,0,465,35
88419,0,0,0,427,73
88553.9,0,0,0,439,61
88738,0,0,0,384,116
88758.2,0,0,0,407,93
88789.9,0,0,0,445,55
89224.8,0,0,0,500,0
90336,0,0,0,481,19
90607.4,0,0,0,500,0
92036,0,0,0,485,15
92036,0,0,0,458,42
92317.4,0,0,0,473,27
92465,0,0,0,500,0
92931,0,0,0,498,2
92966.5,0,0,0,500,0
94316,0,0,0,492,8
94473.4,0,0,0,500,0
94681,0,0,0,485,15
94793.5,0,0,0,500,0
95259,0,0,0,498,2
95259,0,0,0,483,17
95259,0,0,0,431,69
95284.9,0,0,0,433,67
95424.6,0,0,0,448,52
95874,0,0,0,440,60
95981.9,0,0,0,492,8
95983.1,0,0,0,500,0
96259,0,0,0,497,3
96300,0,0,0,500,0
98317,0,0,0,497,3
98375.1,0,0,0,500,0
101285,0,0,0,499,1
101298,0,0,0,500,0
101526,0,0,0,448,52
101947,0,0,0,500,0
102161,0,0,0,474,26
102523,0,0,0,500,0
103706,0,0,0,489,11
103706,0,0,0,484,16
103758,0,0,0,489,11
103914,0,0,0,500,0
104709,0,0,0,480,20
104813,0,0,0,500,0
109359,0,0,0,487,13
109426,0,0,0,500,0
109713,0,0,0,493,7
109713,0,0,0,364,136
109815,0,0,0,371,129
110460,0,0,0,500,0
110701,0,0,0,487,13
110701,0,0,0,476,24
110701,0,0,0,462,38
110701,0,0,0,460,40
110725,0,0,0,462,38
110809,0,0,0,476,24
110827,0,0,0,489,11
110831,0,0,0,500,0
111117,0,0,0,490,10
111198,0,0,0,500,0
111882,0,0,0,491,9
112010,0,0,0,500,0
112016,0,0,0,482,18
112016,0,0,0,430,70
112169,0,0,0,424,76
112169,0,0,0,369,131
112210,0,0,0,362,138
112269,0,0,0,368,132
112305,0,0,0,386,114
112336,0,0,0,393,107
112355,0,0,0,379,121
112355,0,0,0,376,124
112355,0,0,0,364,136
112355,0,0,0,354,146
112382,0,0,0,406,94
112393,0,0,0,409,91
112498,0,0,0,419,81
112532,0,0,0,369,131
112568,0,0,0,381,119
112607,0,0,0,395,105
112649,0,0,0,387,113
112649,0,0,0,380,120
112649,0,0,0,375,125
112683,0,0,0,380,120
112767,0,0,0,388,112
112773,0,0,0,373,127
112773,0,0,0,361,139
112773,0,0,0,344,156
112779,0,0,0,351,149
112854,0,0,0,297,203
112895,0,0,0,309,191
112905,0,0,0,324,176
