time,energy,event_type,wattmin,epower
333122.001330,42383788640.808248,e,125000.000000,129154.464286
333329.000000,42410466518.537801,s,125000.000000,128879.464286
333329.000000,42410466518.537816,s,125000.000000,128000.000000
333423.650645,42422718960.086183,e,125000.000000,129449.107143
333694.000000,42457699511.343694,s,125000.000000,129390.178571
333694.000000,42457699511.343709,s,125000.000000,128000.000000
333694.000000,42457699511.343724,s,125000.000000,128000.000000
333812.887221,42473130223.424699,e,125000.000000,129792.857143
333864.422347,42479815571.577373,e,125000.000000,129724.107143
333867.000000,42480149651.580977,s,125000.000000,129606.250000
333870.100860,42480551907.919120,e,125000.000000,129724.107143
334005.281676,42498058909.780490,e,125000.000000,129508.035714
334044.000000,42503053469.908366,s,125000.000000,128997.321429
334044.000000,42503053469.908380,s,125000.000000,128000.000000
334044.000000,42503053469.908395,s,125000.000000,128000.000000
334063.952103,42505639583.106933,e,125000.000000,129616.071428
334092.707068,42509365841.514182,e,125000.000000,129586.607143
334111.000000,42511734204.508746,s,125000.000000,129468.750000
334111.000000,42511734204.508761,s,125000.000000,128000.000000
334133.882363,42514699677.092480,e,125000.000000,129596.428571
334238.000000,42528188860.601587,s,125000.000000,129557.142857
334238.000000,42528188860.601602,s,125000.000000,128000.000000
334275.818297,42533097405.473216,e,125000.000000,129792.857143
334324.053271,42539353696.839269,e,125000.000000,129704.464286
334362.219669,42544292053.960726,e,125000.000000,129390.178571
334362.219669,42544292053.960741,s,125000.000000,128000.000000
334367.272070,42544946975.912642,e,125000.000000,129625.892857
334433.531174,42553526760.864962,e,125000.000000,129488.392857
334694.004590,42587229462.638623,e,125000.000000,129390.178571
334694.004590,42587229462.638638,s,125000.000000,128000.000000
335013.000000,42628444808.867050,s,125000.000000,129203.571429
335013.000000,42628444808.867065,s,125000.000000,128000.000000
335134.000000,42644134295.474196,s,125000.000000,129665.178571
335254.544409,42659781282.623293,e,125000.000000,129802.678571
335255.095422,42659852729.828915,e,125000.000000,129665.178568
335255.095422,42659852729.848134,s,125000.000000,129384.927900
335288.906228,42664236149.870468,e,125000.000000,129645.535714
335310.602974,42667042004.092703,e,125000.000000,129321.428571
335507.000000,42692403698.974572,s,125000.000000,129134.821429
335546.529954,42697516933.883549,e,125000.000000,129350.892857
335546.529954,42697516933.883564,s,125000.000000,128000.000000
335776.000000,42727239656.179046,s,125000.000000,129527.678571
335776.000000,42727239656.179061,s,125000.000000,128000.000000
335876.844171,42740322566.714440,e,125000.000000,129733.928571
335876.844171,42740322566.714455,s,125000.000000,128000.000000
335886.355143,42741556182.203455,e,125000.000000,129704.464286
335906.603591,42744179712.111732,e,125000.000000,129566.964286
336076.000000,42766116244.595308,s,125000.000000,129498.214286
336128.686851,42772942719.983438,e,125000.000000,129566.964286
336151.355080,42775878215.158357,e,125000.000000,129498.214286
336151.355080,42775878215.158371,s,125000.000000,128000.000000
336223.655906,42785233942.002393,e,125000.000000,129400.000000
336450.000000,42814480630.337053,s,125000.000000,129213.392857
336450.000000,42814480630.337068,s,125000.000000,128000.000000
336482.887107,42818735575.944567,e,125000.000000,129380.357143
336550.153070,42827437149.047979,e,125000.000000,129360.714286
336631.088891,42837895141.001660,e,125000.000000,129213.392857
336631.088891,42837895141.041884,s,125000.000000,128877.045878
337288.000000,42922944601.185255,s,125000.000000,129468.750000
337391.380602,42936345404.030839,e,125000.000000,129625.892857
337391.380602,42936345404.030854,s,125000.000000,128000.000000
337426.065893,42940834021.347260,e,125000.000000,129409.821429
337565.000000,42958791626.812838,s,125000.000000,129252.678571
337565.000000,42958791626.812853,s,125000.000000,128000.000000
337574.232757,42959985257.445614,e,125000.000000,129282.142857
337588.031699,42961769078.715626,e,125000.000000,129272.321429
